grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,1.03624659548927e-05,0.00321907843254754,34.08,0.00334184873520379,0.561,0.467243249815527,TXH1.2020.19,COM2_mean,19,2020,TXH1.2020
Pass,1.84530079572125e-06,0.00135841849064316,6.07,0.00334184873520379,0.561,0.467243249815527,TXH1.2020.19,COM2_mean,19,2020,TXH1.2020
Range,1.9611123256208e-06,0.00140039720280383,6.45,0.00334184873520379,0.561,0.467243249815527,TXH1.2020.19,COM2_mean,19,2020,TXH1.2020
Replicate,3.94081529009349e-08,0.000198514868211262,0.13,0.00334184873520379,0.561,0.467243249815527,TXH1.2020.19,COM2_mean,19,2020,TXH1.2020
Residual,1.62004714522263e-05,0.00402498092569721,53.28,0.00334184873520379,0.561,0.467243249815527,TXH1.2020.19,COM2_mean,19,2020,TXH1.2020
Pedigree,1.26517742647631e-05,0.00355693326684141,38.12,0.00304972888129939,0.638,0.566661914851282,TXH1.2020.19,COM2_median,19,2020,TXH1.2020
Pass,2.89837226383841e-06,0.00170246064971805,8.73,0.00304972888129939,0.638,0.566661914851282,TXH1.2020.19,COM2_median,19,2020,TXH1.2020
Range,2.93724591606693e-06,0.00171383952459585,8.85,0.00304972888129939,0.638,0.566661914851282,TXH1.2020.19,COM2_median,19,2020,TXH1.2020
Replicate,3.19314585617879e-07,0.000565079273746506,0.96,0.00304972888129939,0.638,0.566661914851282,TXH1.2020.19,COM2_median,19,2020,TXH1.2020
Residual,1.43818777985036e-05,0.00379234463076652,43.33,0.00304972888129939,0.638,0.566661914851282,TXH1.2020.19,COM2_median,19,2020,TXH1.2020
Pedigree,2.73260640023818e-05,0.00522743378746989,36.45,0.0046090599342929,0.626,0.565364048474882,TXH1.2020.19,ExG_mean,19,2020,TXH1.2020
Pass,6.05869902278e-06,0.00246144246789967,8.08,0.0046090599342929,0.626,0.565364048474882,TXH1.2020.19,ExG_mean,19,2020,TXH1.2020
Range,8.33011941824167e-06,0.00288619462584242,11.11,0.0046090599342929,0.626,0.565364048474882,TXH1.2020.19,ExG_mean,19,2020,TXH1.2020
Replicate,6.72599504221766e-07,0.000820121639893599,0.9,0.0046090599342929,0.626,0.565364048474882,TXH1.2020.19,ExG_mean,19,2020,TXH1.2020
Residual,3.25863018682524e-05,0.00570844128184327,43.46,0.0046090599342929,0.626,0.565364048474882,TXH1.2020.19,ExG_mean,19,2020,TXH1.2020
Pedigree,4.31808884111521e-07,0.000657121666140693,15.43,0.0012480709767205,0.309,0.309147380971223,TXH1.2020.19,ExG_median,19,2020,TXH1.2020
Pass,1.46905471854937e-07,0.000383282496149951,5.25,0.0012480709767205,0.309,0.309147380971223,TXH1.2020.19,ExG_median,19,2020,TXH1.2020
Range,1.48454326209961e-07,0.000385297711140309,5.31,0.0012480709767205,0.309,0.309147380971223,TXH1.2020.19,ExG_median,19,2020,TXH1.2020
Replicate,1.37810146762277e-07,0.000371227890603976,4.93,0.0012480709767205,0.309,0.309147380971223,TXH1.2020.19,ExG_median,19,2020,TXH1.2020
Residual,1.93297089400984e-06,0.00139031323593276,69.09,0.0012480709767205,0.309,0.309147380971223,TXH1.2020.19,ExG_median,19,2020,TXH1.2020
Pedigree,8.61455858280838e-05,0.00928146463808831,12.32,0.0188683355272438,0.28,0.366959238303458,TXH1.2020.19,ExG2_mean,19,2020,TXH1.2020
Pass,7.62995765179334e-05,0.00873496288016918,10.91,0.0188683355272438,0.28,0.366959238303458,TXH1.2020.19,ExG2_mean,19,2020,TXH1.2020
Range,6.8772788656802e-05,0.00829293606974044,9.84,0.0188683355272438,0.28,0.366959238303458,TXH1.2020.19,ExG2_mean,19,2020,TXH1.2020
Replicate,2.53702511956523e-05,0.00503688903944213,3.63,0.0188683355272438,0.28,0.366959238303458,TXH1.2020.19,ExG2_mean,19,2020,TXH1.2020
Residual,0.000442639873880881,0.0210390083863494,63.3,0.0188683355272438,0.28,0.366959238303458,TXH1.2020.19,ExG2_mean,19,2020,TXH1.2020
Pedigree,8.97801018203211e-05,0.00947523624087131,30.09,0.0104297674755858,0.534,0.474920054738542,TXH1.2020.19,ExG2_median,19,2020,TXH1.2020
Pass,3.27736992058486e-05,0.00572483180590038,10.98,0.0104297674755858,0.534,0.474920054738542,TXH1.2020.19,ExG2_median,19,2020,TXH1.2020
Range,1.3618084623283e-05,0.00369026890934564,4.56,0.0104297674755858,0.534,0.474920054738542,TXH1.2020.19,ExG2_median,19,2020,TXH1.2020
Replicate,5.54835753708371e-06,0.00235549517874347,1.86,0.0104297674755858,0.534,0.474920054738542,TXH1.2020.19,ExG2_median,19,2020,TXH1.2020
